country_name,country_iso3,year,indicator_name,indicator_code,value
Nepal,NPL,1978,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,28.460000
Nepal,NPL,1978,Land area (sq. km),AG.LND.TOTL.K2,143000.000000
Nepal,NPL,1978,Livestock production index (2014-2016 = 100),AG.PRD.LVSK.XD,40.440000
Nepal,NPL,1978,Permanent cropland (% of land area),AG.LND.CROP.ZS,0.202797
Nepal,NPL,1978,Rural population (% of total population),SP.RUR.TOTL.ZS,94.447000
Nepal,NPL,1978,Rural population growth (annual %),SP.RUR.TOTL.ZG,2.055988
Nepal,NPL,1978,Surface area (sq. km),AG.SRF.TOTL.K2,147180.000000
Nepal,NPL,1979,Agricultural land (% of land area),AG.LND.AGRI.ZS,28.461538
Nepal,NPL,1979,Agricultural land (sq. km),AG.LND.AGRI.K2,40700.000000
Nepal,NPL,1979,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,35.037649
Nepal,NPL,1979,Agricultural raw materials imports (% of merchandise imports),TM.VAL.AGRI.ZS.UN,0.490572
